‾	ۇستىڭگى سىزىق
🥵	تەرلەپ تۇر, تەرلەۋ, جىلۋ سوققىسى, قىزارعان, ىستىق, ىستىقتاعان بەت, ىستىقتاۋ
🥶	تونعان بەت, جاۋراعان بەت, سۇڭگى, سۋىق, كوگەرگەن, مۇزداتۋ, مۇزداعان
🥴	السىرەگەن, السىرەگەن ءجۇز, باس جازعان, باسى اينالعان, ماستانعان, ەكى ءتۇرلى كوز
😵	باسى اينالۋ, بەت, كوزى كىرەسپەن سىزىلعان
😵‍💫	ابدىراۋ, ابىرجۋ, سمايىل, كوزى اينالعان سمايىل, كوزى شيىرشىق بەت, ويباي
🤯	باس جارىلعالى تۇر
🤠	سىيىرشى, سىيىرشى قالپاعى, قالپاق
🥳	ءمۇيىز, الاقاي, باس كيىم, بەت, توي, تويلاۋ, تۋعان كۇن, تۋعان كۇنىڭمەن, شاتتىق, قالپاق, قۋانىش, كەش, ۋرا
🥸	ادام, بۇركەپ الۋ, بەت, بەتىن بۇركەپ الۋ, قاس, كوزىلدىرىك, مۇرت, مۇرىن, ينكوگنيتو
😎	بەت, جىميۋ, سمايىل, كوزىلدىرىك, كوزىلدىرىك تاعىپ جىميۋ, مىقتى
🤓	ءبىلىمدى, اقىلدى, بىلگىشسىماق, بەت, تالانتتى, دارىندى, ساراپشى, كوزىلدىرىك, كوزىلدىرىك تاققان, مي, وقىمىستى
🧐	بەت, مونوكىل, مونوكىل تاعۋ, مەنسىنبەۋ
😕	ابدىراۋ, بەت, تۇنجىراۋ
🫤	اۋزىن قيسايتۋ, كۇماندانۋ
😟	بەت, تۇنجىراۋ, ۋايىمداۋ
🙁	ازداپ تۇنجىراۋ, بەت, تۇنجىراۋ
☹️	ازداپ تۇنجىراۋ, بەت, تۇنجىراۋ
😮	اڭ-تاڭ بولۋ, اۋزى اشىلۋ, بەت, تاڭدانۋ, ۇمىتۋ
😯	بەت, تاڭدانۋ, تاڭعالۋ, تاڭىرقاتۋ
😲	اڭ-تاڭ, اڭ-تاڭ بولۋ, بەت, تاڭ قالۋ
😳	اڭ-تاڭ, بەت, بەتى قىزارۋ, تاڭىرقاعان
🥺	جالىنعان ءجۇز, جالىنۋ, راقىمشىل, كەشىرىم سۇراعان, مولدىرەگەن كوزدەر
🥹	ءوتىنىش, اشۋلى, جىلاۋ, سەزىم, قۋانىشتىڭ كوز جاسى, كوز جاسى, كوز جاسىن ارەڭ ۇستاۋ, مۇڭدى, وتىنەم
😦	اشىق, اۋزىن اشىپ، بۇرتيۋ, اۋزىن اشۋ, اۋىز, بۇرتيۋ, بەت, بەت-الپەت, تاڭدانعان, تاڭعالۋ, قورقىپ قالعان, قورقۋ
😧	بەت, قينالۋ, ۇمىتۋ
😨	بەت, شوشىپ كەتۋ, شوشۋ, قورقىنىشتى, قورقۋ, قورىققان, ۋايىمداۋ
😰	اشىق, اۋزىن اشىپ, اۋزىن اشىپ، سۋىق تەرىن شىعارۋ, بەت, تەر, سۋىق, سۋىق تەرىن شىعارۋ, قاتتى قوبالجۋ, كوك, مۇڭدى
😥	ءتۇڭىلۋ, بەت, تۇنجىراۋ, جەڭىلدەنۋ, ۋايىمداۋ
😢	بەت, تۇنجىراۋ, جىلاۋ, رەنجىگەن, كوز جاسى
😭	ايقايلاپ جىلاۋ, بوزداۋ, بەت, جىلاۋ, رەنجىگەن, كوز جاسى
😱	ايقايلاۋ, بەت, زارەسى ۇشۋ, سىلپىلداتۋ, شوشۋ, قورقىنىش, قورقىنىشتى, قورقۋ, قورىققان, ۇرىككەن
😖	بەت, تۇنجىراۋ, ەسى شىعۋ
😣	بەت, شىدامدىلىق
😞	ءتۇڭىلۋ, بەت, تۇڭىلگەن
😓	بەت, تەر, تەرلەۋ, سۋىق تەر, قاتتى شارشاپ, قاتتى شارشاپ تەرلەۋ, قاتتى شارشاپ، تەرلەۋ
😩	بەت, بەتى, تۇنجىراۋ, شارشاعان, قالجىراعان, قالجىراۋ
😫	بەت, تۇنجىراۋ, شارشاۋ, قاتتى شارشاۋ
🥱	zzz, ءتۇن, ءىشى پىسۋ, قاتتى شارشاۋ, قايىرلى ءتۇن, ۇيىقتاۋ, ەسىنەۋ
😤	اشۋلى, بەت, جەڭىس, جەڭگەن, مۇرنىنان بۋ شىققان
😡	اشۋ, اشۋلانۋ, اشۋلى, بەت, قىزىل, ەرنىن بۇرتيتۋ, ەرنىن بۇلتيتقان بەت
😠	اشۋلى, بەت, جىندانعان
🤬	بالاعاتتاۋ, بوقتاۋ, دورەكى, ۇرىسۋ
😈	ءمۇيىز, ءىبىلىس, جىميۋ, سمايىل, قيال, كۇلىمدەگەن ءىبىلىس
👿	ءمۇيىز, ءىبىلىس, اشۋلانعان ءىبىلىس, اشۋلانۋ, اشۋلى, قيال
💀	ءولىم, باس سۇيەك, بەت, قاڭقا, قۇبىجىق, ەرتەگى
☠️	ءولىم, ايقاس سۇيەكتەر, باس سۇيەك پەن سۇيەكتەر, بەت, قاڭقا, قاڭقا مەن سۇيەك, قۇبىجىق
💩	بوق, بەت, تىڭايتۋ, تەزەك, تەزەك ءۇيىندىسى, قۇبىجىق, كوميك
🤡	اپەرباقان, اۋلەكى, بەت, داڭعوي, سايقىمازاق, كلوۋن, كۇلدىرگى, ەسىرىك, ەسەرسوق
👹	بەت, جالماۋىز, قيال, قۇبىجىق, ماقۇلۇق, ەرتەگى
👺	بەت, بەتپەردە, قيال, قۇبىجىق, ماسكا, گوبلين, ەرتەگى
👻	ارۋاق, بەت, قۇبىجىق, ەرتەگى, ەلەس
👽️	ارۋاق, بەت, قيال, وزگە عالامشارلىق, ەرتەگى
👾	بەت, بەلگىسىز ۇشاتىن نىسان, قيال, وزگە الەمدىك, وزگە عالامشاردان كەلگەن قۇبىجىق, وزگە عالامشارلىق, وزگە عالامشارلىق قۇبىجىق
🤖	بەت, روبوت, قۇبىجىق, قۇلتەمىر
😺	اشىق, اۋزىن اشقان مىسىق, اۋىز, بەت, جىميۋ, سمايىل, كۇلىمدەگەن مىسىق, مىسىق
😸	بەت, جىميۋ, سمايىل, كوز, كوزدەرى كۇلىپ, كوزدەرى كۇلىپ، ىرجيىپ تۇرعان مىسىق, كۇلىپ تۇرعان مىسىق, مىسىق, ىرجيىپ تۇرعان مىسىق, ىرجيۋ
😹	بەت, قاتىپ كۇلىپ جاتقان مىسىق, قۋانىش, كوز جاسى, كوزىنەن جاس شىققانشا كۇلگەن مىسىق, مىسىق
😻	ءسۇيسىنىپ تۇرعان مىسىق, ءسۇيسىنىپ قاراپ تۇرعان مىسىق, بەت, جىميۋ, سمايىل, كوز, ماحاببات, مىسىق
😼	بەت, جىميۋ, قىجىرتا وتىرىك كۇلىمسىرەگەن مىسىق, مىرس-مىرس كۇلىپ تۇرعان مىسىق, مىسقىل, مىسىق, وتىرىك كۇلۋ
😽	ءسۇيىپ تۇرعان مىسىق, ءوبىس, بەت, كوز, كوزدەرى جۇمىلىپ, كوزدەرى جۇمىلىپ، ءسۇيىپ تۇرعان مىسىق, مىسىق
🙀	تاڭىرقاعان, زارەسى ۇشقان, زارەسى ۇشقان مىسىق, مىسىق
😿	بەت, جىلاپ تۇرعان مىسىق, جىلاۋ, كوز جاسى, مىسىق, مۇڭدى
😾	اشۋلانعان مىسىق, اشۋلانۋ, بەت, مىسىق
🙈	بەت, رۇقسات ەتىلمەگەن, زيان, قيمىل, كورۋ, كورۋگە بولمايدى, كوزىن جاۋىپ تۇرعان مايمىل, مايمىل, ۇمىتۋ
🙉	بەت, تىڭداۋعا بولمايدى, رۇقسات ەتىلمەگەن, زياندى, قۇلاعىن جاۋىپ تۇرعان مايمىل, مايمىل, ەستۋ
🙊	اۋزىن جاۋىپ تۇرعان مايمىل, بەت, رۇقسات ەتىلمەگەن, زياندى, سويلەۋ, سويلەۋگە بولمايدى, مايمىل
💌	ءسۇيىم, جۇرەك, حات, سۇيىسپەنشىلىك حاتى, ماحاببات, ماحاببات حاتى, پوشتا
💘	جۇرەك, جەبە, جەبە تيگەن جۇرەك, رومانتيكا, كۋپيدون, ماحاببات
💝	تاسپا, تاسپالى جۇرەك, جۇرەك, لەنتا, ماحاببات
💖	ءسۇيىم, جىلتىراعان جۇرەك, جىلتىراۋ, جۇرەك, كوڭىل-كۇيى كوتەرىڭكى, ماحاببات
💗	ءسۇيىم, ءوسۋ, جۇرەك, جۇرەك سوعىسى, كوڭىل-كۇيى كوتەرىڭكى, كۇيىنگىش, ماحاببات, ۇلكەيەتىن جۇرەك
💓	ءسۇيىم, جۇرەك, جۇرەك سوعىسى, سوعىپ تۇرعان, سوعىپ تۇرعان جۇرەك, سوعۋ, ماحاببات
💞	ءسۇيىم, اينالىپ تۇرعان جۇرەكتەر, اينالۋ, جۇرەك, ماحاببات, ەكى جۇرەك
💕	ءسۇيىم, جۇرەك, قوس جۇرەك, ماحاببات, ەكى جۇرەك
💟	جۇرەك, دەكوراتيۆتىك جۇرەك, كۇلگىن جۇرەك
❣️	!, بەلگى, جۇرەك, لەپ بەلگىسى, لەپ بەلگىسى ءتارىزدى جۇرەك, پۋنكتۋاتسيا
💔	جارالانۋ, جارالى, جارالى جۇرەك, جۇرەك, سىنعان, سىنۋ
❤‍🔥	لاۋلاپ تۇرعان جۇرەك
❤‍🩹	ەمدىك جۇرەك
❤️	جۇرەك, قىزىل جۇرەك, ماحاببات
🩷	143, جۇرەك, سۇيكىمدى, قىزعىلت, قىزعىلت جۇرەك, ماحاببات, ۇناتۋ
🧡	ءسۇيىم, جۇرەك, قىزعىلت-سارى جۇرەك, ماحاببات
💛	ءسۇيىم, جۇرەك, سارى جۇرەك, ماحاببات
💚	ءسۇيىم, جاسىل جۇرەك, جۇرەك, ماحاببات
💙	ءسۇيىم, جۇرەك, كوك جۇرەك, ماحاببات
🩵	ءسۇيىم, اقشىل كوك جۇرەك, جۇرەك, ماحاببات
💜	ءسۇيىم, جۇرەك, كۇلگىن جۇرەك, ماحاببات
🤎	ءسۇيىم, جۇرەك, قوڭىر جۇرەك, ماحاببات
🖤	ءسۇيىم, جۇرەك, قارا جۇرەك, ماحاببات
🩶	ءسۇيىم, جۇرەك, سۇر جۇرەك, ماحاببات
🤍	ءسۇيىم, اق جۇرەك, جۇرەك, ماحاببات
💋	ءسۇيۋ, ءوبىس, بەلگى, جۇرەك, رومانتيكا, ەرىن
💯	100, ءجۇز, ءجۇز ۇپاي, تولىق, ۇپاي
💢	اشۋ, اشۋلى, قۇتىرعان, كوميكس
💥	جارىلىس, سوققى, قاقتىعىس, كوميكس
💫	باسى اينالعان, جۇلدىز, كوميك, كوميكس
💦	بۇركۋ, تامشى, تەر, تەر تامشىلارى, كوميكس
💨	ءتۇتىن, بۇلت, جىلدام, جۇگىرۋ, سەرپىلىس, شاپشاڭ, كوميكس
🕳️	تەسىك
💬	اڭگىمە بۇلتى, ديالوگ, سۇحبات, سۇحباتتاسۋ كوپىرشىگى, كوميكس, كوپىرشىك, ۇشاتىن شار
👁‍🗨	كوز, كۋاگەر, كۋاگەر بەلگىشەسى
🗨️	ديالوگ, سول جاق اڭگىمە بۇلتى, سول جاق سۇحباتتاسۋ كوپىرشىگى, سۇحبات, شار, كوپىرشىك
🗯️	اشۋلى, جىندانعان, قالقىما تەرەزە, كوپىرشىك, وڭ جاق اشۋلى اڭگىمە بۇلتى, وڭ جاق اشۋلى سۇحباتتاسۋ كوپىرشىگى
💭	بۇلت, قالقىما تەرەزە, كوپىرشىك, وي, وي بۇلتى, وي كوپىرشىگى
💤	zzz, ءتۇن, شارشاۋ, قايىرلى ءتۇن, كوميكس, ۇيقى, ۇيىقتاۋ
👋	بۇلعاپ تۇر, بۇلعاۋ, دەنە, سالەم, قول, قول بۇلعاۋ, كورىسكەنشە
👋🏻	1–2 تەرى ءتۇسى, بۇلعاپ تۇر, بۇلعاۋ, دەنە, سالەم, قول, قول بۇلعاۋ: 1–2 تەرى ءتۇسى, كورىسكەنشە
👋🏼	3-تەرى ءتۇرى, بۇلعاپ تۇر, بۇلعاۋ, دەنە, سالەم, قول, قول بۇلعاۋ: 3-تەرى ءتۇرى, كورىسكەنشە
👋🏽	4-تەرى ءتۇسى, بۇلعاپ تۇر, بۇلعاۋ, دەنە, سالەم, قول, قول بۇلعاۋ: 4-تەرى ءتۇسى, كورىسكەنشە
👋🏾	5-تەرى ءتۇسى, بۇلعاپ تۇر, بۇلعاۋ, دەنە, سالەم, قول, قول بۇلعاۋ: 5-تەرى ءتۇسى, كورىسكەنشە
👋🏿	6-تەرى ءتۇسى, بۇلعاپ تۇر, بۇلعاۋ, دەنە, سالەم, قول, قول بۇلعاۋ: 6-تەرى ءتۇسى, كورىسكەنشە
🤚	الاقان, الاقان سىرتى, الاقان سىرتىن كورسەتۋ, الاقانىن كورسەتتى, قول كوتەرۋ, كورسەتۋ
🤚🏻	1–2 تەرى ءتۇسى, الاقان, الاقان سىرتى, الاقان سىرتىن كورسەتۋ, الاقان سىرتىن كورسەتۋ: 1–2 تەرى ءتۇسى, الاقانىن كورسەتتى, قول كوتەرۋ, كورسەتۋ
🤚🏼	3-تەرى ءتۇرى, الاقان, الاقان سىرتى, الاقان سىرتىن كورسەتۋ, الاقان سىرتىن كورسەتۋ: 3-تەرى ءتۇرى, الاقانىن كورسەتتى, قول كوتەرۋ, كورسەتۋ
🤚🏽	4-تەرى ءتۇسى, الاقان, الاقان سىرتى, الاقان سىرتىن كورسەتۋ, الاقان سىرتىن كورسەتۋ: 4-تەرى ءتۇسى, الاقانىن كورسەتتى, قول كوتەرۋ, كورسەتۋ
🤚🏾	5-تەرى ءتۇسى, الاقان, الاقان سىرتى, الاقان سىرتىن كورسەتۋ, الاقان سىرتىن كورسەتۋ: 5-تەرى ءتۇسى, الاقانىن كورسەتتى, قول كوتەرۋ, كورسەتۋ
🤚🏿	6-تەرى ءتۇسى, الاقان, الاقان سىرتى, الاقان سىرتىن كورسەتۋ, الاقان سىرتىن كورسەتۋ: 6-تەرى ءتۇسى, الاقانىن كورسەتتى, قول كوتەرۋ, كورسەتۋ
🖐️	توقتا, جايىلعان, دەنە, ساۋساق, ساۋساقتارىنىڭ اراسىن اشىپ, ساۋساقتارىنىڭ اراسىن اشىپ، قولدى كوتەرۋ, قول, قولدى كوتەرۋ
🖐🏻	1–2 تەرى ءتۇسى, توقتا, جايىلعان, دەنە, ساۋساق, ساۋساقتارىنىڭ اراسىن اشىپ, ساۋساقتارىنىڭ اراسىن اشىپ، قولدى كوتەرۋ, ساۋساقتارىنىڭ اراسىن اشىپ، قولدى كوتەرۋ: 1–2 تەرى ءتۇسى, قول, قولدى كوتەرۋ
🖐🏼	3-تەرى ءتۇرى, توقتا, جايىلعان, دەنە, ساۋساق, ساۋساقتارىنىڭ اراسىن اشىپ, ساۋساقتارىنىڭ اراسىن اشىپ، قولدى كوتەرۋ, ساۋساقتارىنىڭ اراسىن اشىپ، قولدى كوتەرۋ: 3-تەرى ءتۇرى, قول, قولدى كوتەرۋ
🖐🏽	4-تەرى ءتۇسى, توقتا, جايىلعان, دەنە, ساۋساق, ساۋساقتارىنىڭ اراسىن اشىپ, ساۋساقتارىنىڭ اراسىن اشىپ، قولدى كوتەرۋ, ساۋساقتارىنىڭ اراسىن اشىپ، قولدى كوتەرۋ: 4-تەرى ءتۇسى, قول, قولدى كوتەرۋ
🖐🏾	5-تەرى ءتۇسى, توقتا, جايىلعان, دەنە, ساۋساق, ساۋساقتارىنىڭ اراسىن اشىپ, ساۋساقتارىنىڭ اراسىن اشىپ، قولدى كوتەرۋ, ساۋساقتارىنىڭ اراسىن اشىپ، قولدى كوتەرۋ: 5-تەرى ءتۇسى, قول, قولدى كوتەرۋ
🖐🏿	6-تەرى ءتۇسى, توقتا, جايىلعان, دەنە, ساۋساق, ساۋساقتارىنىڭ اراسىن اشىپ, ساۋساقتارىنىڭ اراسىن اشىپ، قولدى كوتەرۋ, ساۋساقتارىنىڭ اراسىن اشىپ، قولدى كوتەرۋ: 6-تەرى ءتۇسى, قول, قولدى كوتەرۋ
✋️	اكەل بەستى, توقتا, دەنە, قول, قول كوتەرۋ, قولدى كوتەرۋ
✋🏻	1–2 تەرى ءتۇسى, اكەل بەستى, توقتا, دەنە, قول, قول كوتەرۋ, قول كوتەرۋ: 1–2 تەرى ءتۇسى, قولدى كوتەرۋ
✋🏼	3-تەرى ءتۇرى, اكەل بەستى, توقتا, دەنە, قول, قول كوتەرۋ, قول كوتەرۋ: 3-تەرى ءتۇرى, قولدى كوتەرۋ
✋🏽	4-تەرى ءتۇسى, اكەل بەستى, توقتا, دەنە, قول, قول كوتەرۋ, قول كوتەرۋ: 4-تەرى ءتۇسى, قولدى كوتەرۋ
✋🏾	5-تەرى ءتۇسى, اكەل بەستى, توقتا, دەنە, قول, قول كوتەرۋ, قول كوتەرۋ: 5-تەرى ءتۇسى, قولدى كوتەرۋ
✋🏿	6-تەرى ءتۇسى, اكەل بەستى, توقتا, دەنە, قول, قول كوتەرۋ, قول كوتەرۋ: 6-تەرى ءتۇسى, قولدى كوتەرۋ
🖖	جانارتاۋ, جانارتاۋشا سالەمدەسۋ, ساۋساق, سپوك, قول
🖖🏻	1–2 تەرى ءتۇسى, جانارتاۋ, جانارتاۋشا سالەمدەسۋ, جانارتاۋشا سالەمدەسۋ: 1–2 تەرى ءتۇسى, ساۋساق, سپوك, قول
🖖🏼	3-تەرى ءتۇرى, جانارتاۋ, جانارتاۋشا سالەمدەسۋ, جانارتاۋشا سالەمدەسۋ: 3-تەرى ءتۇرى, ساۋساق, سپوك, قول
🖖🏽	4-تەرى ءتۇسى, جانارتاۋ, جانارتاۋشا سالەمدەسۋ, جانارتاۋشا سالەمدەسۋ: 4-تەرى ءتۇسى, ساۋساق, سپوك, قول
🖖🏾	5-تەرى ءتۇسى, جانارتاۋ, جانارتاۋشا سالەمدەسۋ, جانارتاۋشا سالەمدەسۋ: 5-تەرى ءتۇسى, ساۋساق, سپوك, قول
🖖🏿	6-تەرى ءتۇسى, جانارتاۋ, جانارتاۋشا سالەمدەسۋ, جانارتاۋشا سالەمدەسۋ: 6-تەرى ءتۇسى, ساۋساق, سپوك, قول
🫱	قول, قول الىسۋ, قول سوزۋ, وڭ, وڭعا قاراتىلعان قول, ۇستاۋ
🫱🏻	1–2 تەرى ءتۇسى, قول, قول الىسۋ, قول سوزۋ, وڭ, وڭعا قاراتىلعان قول, وڭعا قاراتىلعان قول: 1–2 تەرى ءتۇسى, ۇستاۋ
🫱🏼	3-تەرى ءتۇرى, قول, قول الىسۋ, قول سوزۋ, وڭ, وڭعا قاراتىلعان قول, وڭعا قاراتىلعان قول: 3-تەرى ءتۇرى, ۇستاۋ
