‾	forlíne
❤‍🩹	ag feabhsú, ag teacht ar ais chugat féin, croí deisithe, go maith, níos sláintiúla
❤️	croí, croí dearg, grá, mothúchán
🩷	bándearg, croí, croí bándearg, gleoite, grá, is maith liom
🧡	buí, croí, croí flannbhuí, dearg, flannbhuí, odhar, oráiste
💛	croí, croí buí, grá, mothúchán
💚	143, croí, croí glas, grá, uaine
💙	croí, croí gorm, mothúchán, tá grá agam ort
🩵	bánghorm, cian, croí, croí bánghorm, téal
💜	143, corcra, croí, croí corcra, grá
🤎	croí, croí donn, donn
🖤	croí, croí dubh, dona, dubh, gránna, mailíseach, urchóideach
🩶	airgead, croí, croí liath, liath, slinn
🤍	bán, croí, croí bán
💋	beola, croí, marc póg, póg, póga
💯	100, 100 pointe, a+, cinnte, céad, fíor, fírinne, go soiléir, iomlán, lán, scór iomlán
💢	fearg, feargach, siombail feirge
💥	buama, plab, pléasc, pléascadh, pléascán, torann
💫	meadhrán, mearbhall, réalta reatha, réaltaí
💦	aclaíocht a dhéanamh, allas, braoiníní, braoiníní allais, braonta, broainíní allais, stealladh, uisce
💨	broim, rith, sciuird, tapa
🕳️	poll
💬	bolgán, bolgán cainte, caint, clóscríobh, sms, téacs
👁‍🗨	bolgán cainte, finné, rosc, súil, súil i mbolgán cainte
🗨️	bolgán cainte ar chlé, bolgán cainte chlé, caint, comhrá
🗯️	ar buile, ar buille, balún, bolgán, bolgán feirge ar dheis, bolgán feirge dheis, feargach, mire, éadromán
💭	ag smaoineamh, bolgán, bolgán smaointe, brionglóid, scamall, smaoineamh, smaointe
💤	codladh, codladh sámh, ina chodladh, néal codlata, oíche mhaith, srannadh, suan, tuirseach, zz, zzz, zzzz
👋	beannú, croitheadh, haigh, hé, hóra, lámh, lámh ag croitheadh, slán
👋🏻	beannú, croitheadh, haigh, hé, hóra, lámh, lámh ag croitheadh, lámh ag croitheadh: ton cnis geal, slán, ton cnis geal
👋🏼	beannú, croitheadh, haigh, hé, hóra, lámh, lámh ag croitheadh, lámh ag croitheadh: ton cnis mheánach-gheal, slán, ton cnis mheánach-gheal
👋🏽	beannú, croitheadh, haigh, hé, hóra, lámh, lámh ag croitheadh, lámh ag croitheadh: ton cnis meánach, slán, ton cnis meánach
👋🏾	beannú, croitheadh, haigh, hé, hóra, lámh, lámh ag croitheadh, lámh ag croitheadh: ton cnis meándorcha, slán, ton cnis meándorcha
👋🏿	beannú, croitheadh, haigh, hé, hóra, lámh, lámh ag croitheadh, lámh ag croitheadh: ton cnis dorcha, slán, ton cnis dorcha
🤚	ardaithe, cúl, cúl láimhe in airde, cúl na láimhe, in airde, lámh, lámh in airde
🤚🏻	ardaithe, cúl, cúl láimhe in airde, cúl láimhe in airde: ton cnis geal, cúl na láimhe, in airde, lámh, lámh in airde, ton cnis geal
🤚🏼	ardaithe, cúl, cúl láimhe in airde, cúl láimhe in airde: ton cnis mheánach-gheal, cúl na láimhe, in airde, lámh, lámh in airde, ton cnis mheánach-gheal
🤚🏽	ardaithe, cúl, cúl láimhe in airde, cúl láimhe in airde: ton cnis meánach, cúl na láimhe, in airde, lámh, lámh in airde, ton cnis meánach
🤚🏾	ardaithe, cúl, cúl láimhe in airde, cúl láimhe in airde: ton cnis meándorcha, cúl na láimhe, in airde, lámh, lámh in airde, ton cnis meándorcha
🤚🏿	ardaithe, cúl, cúl láimhe in airde, cúl láimhe in airde: ton cnis dorcha, cúl na láimhe, in airde, lámh, lámh in airde, ton cnis dorcha
🖐️	ar leathadh, corp, lámh, lámh le méara spréite, lámha suas lena mhéara ar leathadh
🖐🏻	ar leathadh, corp, lámh, lámh le méara spréite, lámh le méara spréite: ton cnis geal, lámha suas lena mhéara ar leathadh, ton cnis geal
🖐🏼	ar leathadh, corp, lámh, lámh le méara spréite, lámh le méara spréite: ton cnis mheánach-gheal, lámha suas lena mhéara ar leathadh, ton cnis mheánach-gheal
🖐🏽	ar leathadh, corp, lámh, lámh le méara spréite, lámh le méara spréite: ton cnis meánach, lámha suas lena mhéara ar leathadh, ton cnis meánach
🖐🏾	ar leathadh, corp, lámh, lámh le méara spréite, lámh le méara spréite: ton cnis meándorcha, lámha suas lena mhéara ar leathadh, ton cnis meándorcha
🖐🏿	ar leathadh, corp, lámh, lámh le méara spréite, lámh le méara spréite: ton cnis dorcha, lámha suas lena mhéara ar leathadh, ton cnis dorcha
✋️	bosa in airde, lámh ardaithe, páipéar, stop
✋🏻	bosa in airde, lámh ardaithe, lámh ardaithe: ton cnis geal, páipéar, stop, ton cnis geal
✋🏼	bosa in airde, lámh ardaithe, lámh ardaithe: ton cnis mheánach-gheal, páipéar, stop, ton cnis mheánach-gheal
✋🏽	bosa in airde, lámh ardaithe, lámh ardaithe: ton cnis meánach, páipéar, stop, ton cnis meánach
✋🏾	bosa in airde, lámh ardaithe, lámh ardaithe: ton cnis meándorcha, páipéar, stop, ton cnis meándorcha
✋🏿	bosa in airde, lámh ardaithe, lámh ardaithe: ton cnis dorcha, páipéar, stop, ton cnis dorcha
🖖	cuirtéis Bholcáin, ladhar, lámh, lámha, méar, spock, star trek
🖖🏻	cuirtéis Bholcáin, cuirtéis Bholcáin: ton cnis geal, ladhar, lámh, lámha, méar, spock, star trek, ton cnis geal
🖖🏼	cuirtéis Bholcáin, cuirtéis Bholcáin: ton cnis mheánach-gheal, ladhar, lámh, lámha, méar, spock, star trek, ton cnis mheánach-gheal
🖖🏽	cuirtéis Bholcáin, cuirtéis Bholcáin: ton cnis meánach, ladhar, lámh, lámha, méar, spock, star trek, ton cnis meánach
🖖🏾	cuirtéis Bholcáin, cuirtéis Bholcáin: ton cnis meándorcha, ladhar, lámh, lámha, méar, spock, star trek, ton cnis meándorcha
🖖🏿	cuirtéis Bholcáin, cuirtéis Bholcáin: ton cnis dorcha, ladhar, lámh, lámha, méar, spock, star trek, ton cnis dorcha
🫱	croitheadh láimhe, lámh, lámh ar dheis, sín amach
🫱🏻	croitheadh láimhe, lámh, lámh ar dheis, lámh ar dheis: ton cnis geal, sín amach, ton cnis geal
🫱🏼	croitheadh láimhe, lámh, lámh ar dheis, lámh ar dheis: ton cnis mheánach-gheal, sín amach, ton cnis mheánach-gheal
🫱🏽	croitheadh láimhe, lámh, lámh ar dheis, lámh ar dheis: ton cnis meánach, sín amach, ton cnis meánach
🫱🏾	croitheadh láimhe, lámh, lámh ar dheis, lámh ar dheis: ton cnis meándorcha, sín amach, ton cnis meándorcha
🫱🏿	croitheadh láimhe, lámh, lámh ar dheis, lámh ar dheis: ton cnis dorcha, sín amach, ton cnis dorcha
🫱🏻‍🫲🏼	aontú, beannú, comhaontú, croitheadh láimhe, croitheadh lámh, croitheadh lámh: ton cnis geal, ton cnis mheánach-gheal, síocháin, tairiscint, ton cnis geal, ton cnis mheánach-gheal
🫱🏻‍🫲🏽	aontú, beannú, comhaontú, croitheadh láimhe, croitheadh lámh, croitheadh lámh: ton cnis geal, ton cnis meánach, síocháin, tairiscint, ton cnis geal, ton cnis meánach
🫱🏻‍🫲🏾	aontú, beannú, comhaontú, croitheadh láimhe, croitheadh lámh, croitheadh lámh: ton cnis geal, ton cnis meándorcha, síocháin, tairiscint, ton cnis geal, ton cnis meándorcha
🫱🏻‍🫲🏿	aontú, beannú, comhaontú, croitheadh láimhe, croitheadh lámh, croitheadh lámh: ton cnis geal, ton cnis dorcha, síocháin, tairiscint, ton cnis dorcha, ton cnis geal
🫱🏼‍🫲🏻	aontú, beannú, comhaontú, croitheadh láimhe, croitheadh lámh, croitheadh lámh: ton cnis mheánach-gheal, ton cnis geal, síocháin, tairiscint, ton cnis geal, ton cnis mheánach-gheal
🫱🏼‍🫲🏽	aontú, beannú, comhaontú, croitheadh láimhe, croitheadh lámh, croitheadh lámh: ton cnis mheánach-gheal, ton cnis meánach, síocháin, tairiscint, ton cnis meánach, ton cnis mheánach-gheal
🫱🏼‍🫲🏾	aontú, beannú, comhaontú, croitheadh láimhe, croitheadh lámh, croitheadh lámh: ton cnis mheánach-gheal, ton cnis meándorcha, síocháin, tairiscint, ton cnis meándorcha, ton cnis mheánach-gheal
🫱🏼‍🫲🏿	aontú, beannú, comhaontú, croitheadh láimhe, croitheadh lámh, croitheadh lámh: ton cnis mheánach-gheal, ton cnis dorcha, síocháin, tairiscint, ton cnis dorcha, ton cnis mheánach-gheal
🫱🏽‍🫲🏻	aontú, beannú, comhaontú, croitheadh láimhe, croitheadh lámh, croitheadh lámh: ton cnis meánach, ton cnis geal, síocháin, tairiscint, ton cnis geal, ton cnis meánach
🫱🏽‍🫲🏼	aontú, beannú, comhaontú, croitheadh láimhe, croitheadh lámh, croitheadh lámh: ton cnis meánach, ton cnis mheánach-gheal, síocháin, tairiscint, ton cnis meánach, ton cnis mheánach-gheal
🫱🏽‍🫲🏾	aontú, beannú, comhaontú, croitheadh láimhe, croitheadh lámh, croitheadh lámh: ton cnis meánach, ton cnis meándorcha, síocháin, tairiscint, ton cnis meánach, ton cnis meándorcha
🫱🏽‍🫲🏿	aontú, beannú, comhaontú, croitheadh láimhe, croitheadh lámh, croitheadh lámh: ton cnis meánach, ton cnis dorcha, síocháin, tairiscint, ton cnis dorcha, ton cnis meánach
🫱🏾‍🫲🏻	aontú, beannú, comhaontú, croitheadh láimhe, croitheadh lámh, croitheadh lámh: ton cnis meándorcha, ton cnis geal, síocháin, tairiscint, ton cnis geal, ton cnis meándorcha
🫱🏾‍🫲🏼	aontú, beannú, comhaontú, croitheadh láimhe, croitheadh lámh, croitheadh lámh: ton cnis meándorcha, ton cnis mheánach-gheal, síocháin, tairiscint, ton cnis meándorcha, ton cnis mheánach-gheal
🫱🏾‍🫲🏽	aontú, beannú, comhaontú, croitheadh láimhe, croitheadh lámh, croitheadh lámh: ton cnis meándorcha, ton cnis meánach, síocháin, tairiscint, ton cnis meánach, ton cnis meándorcha
🫱🏾‍🫲🏿	aontú, beannú, comhaontú, croitheadh láimhe, croitheadh lámh, croitheadh lámh: ton cnis meándorcha, ton cnis dorcha, síocháin, tairiscint, ton cnis dorcha, ton cnis meándorcha
🫱🏿‍🫲🏻	aontú, beannú, comhaontú, croitheadh láimhe, croitheadh lámh, croitheadh lámh: ton cnis dorcha, ton cnis geal, síocháin, tairiscint, ton cnis dorcha, ton cnis geal
🫱🏿‍🫲🏼	aontú, beannú, comhaontú, croitheadh láimhe, croitheadh lámh, croitheadh lámh: ton cnis dorcha, ton cnis mheánach-gheal, síocháin, tairiscint, ton cnis dorcha, ton cnis mheánach-gheal
🫱🏿‍🫲🏽	aontú, beannú, comhaontú, croitheadh láimhe, croitheadh lámh, croitheadh lámh: ton cnis dorcha, ton cnis meánach, síocháin, tairiscint, ton cnis dorcha, ton cnis meánach
🫱🏿‍🫲🏾	aontú, beannú, comhaontú, croitheadh láimhe, croitheadh lámh, croitheadh lámh: ton cnis dorcha, ton cnis meándorcha, síocháin, tairiscint, ton cnis dorcha, ton cnis meándorcha
🫲	croitheadh, croitheadh láimhe, lámh ar chlé, síneadh
🫲🏻	croitheadh, croitheadh láimhe, lámh ar chlé, lámh ar chlé: ton cnis geal, síneadh, ton cnis geal
🫲🏼	croitheadh, croitheadh láimhe, lámh ar chlé, lámh ar chlé: ton cnis mheánach-gheal, síneadh, ton cnis mheánach-gheal
🫲🏽	croitheadh, croitheadh láimhe, lámh ar chlé, lámh ar chlé: ton cnis meánach, síneadh, ton cnis meánach
🫲🏾	croitheadh, croitheadh láimhe, lámh ar chlé, lámh ar chlé: ton cnis meándorcha, síneadh, ton cnis meándorcha
🫲🏿	croitheadh, croitheadh láimhe, lámh ar chlé, lámh ar chlé: ton cnis dorcha, síneadh, ton cnis dorcha
🫳	lámh, lámh le bos faoi, titim, tóg, tógáil
🫳🏻	lámh, lámh le bos faoi, lámh le bos faoi: ton cnis geal, titim, ton cnis geal, tóg, tógáil
🫳🏼	lámh, lámh le bos faoi, lámh le bos faoi: ton cnis mheánach-gheal, titim, ton cnis mheánach-gheal, tóg, tógáil
🫳🏽	lámh, lámh le bos faoi, lámh le bos faoi: ton cnis meánach, titim, ton cnis meánach, tóg, tógáil
🫳🏾	lámh, lámh le bos faoi, lámh le bos faoi: ton cnis meándorcha, titim, ton cnis meándorcha, tóg, tógáil
🫳🏿	lámh, lámh le bos faoi, lámh le bos faoi: ton cnis dorcha, titim, ton cnis dorcha, tóg, tógáil
🫴	goitse, greim, inis dom, lámh le bos suas, ní fios
🫴🏻	goitse, greim, inis dom, lámh le bos suas, lámh le bos suas: ton cnis geal, ní fios, ton cnis geal
🫴🏼	goitse, greim, inis dom, lámh le bos suas, lámh le bos suas: ton cnis mheánach-gheal, ní fios, ton cnis mheánach-gheal
🫴🏽	goitse, greim, inis dom, lámh le bos suas, lámh le bos suas: ton cnis meánach, ní fios, ton cnis meánach
🫴🏾	goitse, greim, inis dom, lámh le bos suas, lámh le bos suas: ton cnis meándorcha, ní fios, ton cnis meándorcha
🫴🏿	goitse, greim, inis dom, lámh le bos suas, lámh le bos suas: ton cnis dorcha, ní fios, ton cnis dorcha
🫷	ar chlé, bosa in airde, bosa in airde ar chlé, brú, brú láimhe ar chlé, diúltaigh, fan, stop
🫷🏻	ar chlé, bosa in airde, bosa in airde ar chlé, brú, brú láimhe ar chlé, brú láimhe ar chlé: ton cnis geal, diúltaigh, fan, stop, ton cnis geal
🫷🏼	ar chlé, bosa in airde, bosa in airde ar chlé, brú, brú láimhe ar chlé, brú láimhe ar chlé: ton cnis mheánach-gheal, diúltaigh, fan, stop, ton cnis mheánach-gheal
🫷🏽	ar chlé, bosa in airde, bosa in airde ar chlé, brú, brú láimhe ar chlé, brú láimhe ar chlé: ton cnis meánach, diúltaigh, fan, stop, ton cnis meánach
🫷🏾	ar chlé, bosa in airde, bosa in airde ar chlé, brú, brú láimhe ar chlé, brú láimhe ar chlé: ton cnis meándorcha, diúltaigh, fan, stop, ton cnis meándorcha
🫷🏿	ar chlé, bosa in airde, bosa in airde ar chlé, brú, brú láimhe ar chlé, brú láimhe ar chlé: ton cnis dorcha, diúltaigh, fan, stop, ton cnis dorcha
🫸	bosa in airde, bosa in airde ar dheis, brú, brú láimhe ar dheis, diúltaigh, fan, stop
🫸🏻	bosa in airde, bosa in airde ar dheis, brú, brú láimhe ar dheis, brú láimhe ar dheis: ton cnis geal, diúltaigh, fan, stop, ton cnis geal
🫸🏼	bosa in airde, bosa in airde ar dheis, brú, brú láimhe ar dheis, brú láimhe ar dheis: ton cnis mheánach-gheal, diúltaigh, fan, stop, ton cnis mheánach-gheal
🫸🏽	bosa in airde, bosa in airde ar dheis, brú, brú láimhe ar dheis, brú láimhe ar dheis: ton cnis meánach, diúltaigh, fan, stop, ton cnis meánach
🫸🏾	bosa in airde, bosa in airde ar dheis, brú, brú láimhe ar dheis, brú láimhe ar dheis: ton cnis meándorcha, diúltaigh, fan, stop, ton cnis meándorcha
🫸🏿	bosa in airde, bosa in airde ar dheis, brú, brú láimhe ar dheis, brú láimhe ar dheis: ton cnis dorcha, diúltaigh, fan, stop, ton cnis dorcha
👌	CGL, OK, beagán bídeach, cgl, gráinnín, lámh, lámh OK, tuigim
👌🏻	CGL, OK, beagán bídeach, cgl, gráinnín, lámh, lámh OK: ton cnis geal, ton cnis geal, tuigim
👌🏼	CGL, OK, beagán bídeach, cgl, gráinnín, lámh, lámh OK: ton cnis mheánach-gheal, ton cnis mheánach-gheal, tuigim
👌🏽	CGL, OK, beagán bídeach, cgl, gráinnín, lámh, lámh OK: ton cnis meánach, ton cnis meánach, tuigim
👌🏾	CGL, OK, beagán bídeach, cgl, gráinnín, lámh, lámh OK: ton cnis meándorcha, ton cnis meándorcha, tuigim
👌🏿	CGL, OK, beagán bídeach, cgl, gráinnín, lámh, lámh OK: ton cnis dorcha, ton cnis dorcha, tuigim
🤌	ceistiú, comhartha láimhe, fáiscthe, méara, méara fáiscthe le chéile, tarcaisneach
🤌🏻	ceistiú, comhartha láimhe, fáiscthe, méara, méara fáiscthe le chéile, méara fáiscthe le chéile: ton cnis geal, tarcaisneach, ton cnis geal
🤌🏼	ceistiú, comhartha láimhe, fáiscthe, méara, méara fáiscthe le chéile, méara fáiscthe le chéile: ton cnis mheánach-gheal, tarcaisneach, ton cnis mheánach-gheal
🤌🏽	ceistiú, comhartha láimhe, fáiscthe, méara, méara fáiscthe le chéile, méara fáiscthe le chéile: ton cnis meánach, tarcaisneach, ton cnis meánach
🤌🏾	ceistiú, comhartha láimhe, fáiscthe, méara, méara fáiscthe le chéile, méara fáiscthe le chéile: ton cnis meándorcha, tarcaisneach, ton cnis meándorcha
🤌🏿	ceistiú, comhartha láimhe, fáiscthe, méara, méara fáiscthe le chéile, méara fáiscthe le chéile: ton cnis dorcha, tarcaisneach, ton cnis dorcha
🤏	beag, lámh ag pinseáil, méara, píosa beag
🤏🏻	beag, lámh ag pinseáil, lámh ag pinseáil: ton cnis geal, méara, píosa beag, ton cnis geal
🤏🏼	beag, lámh ag pinseáil, lámh ag pinseáil: ton cnis mheánach-gheal, méara, píosa beag, ton cnis mheánach-gheal
🤏🏽	beag, lámh ag pinseáil, lámh ag pinseáil: ton cnis meánach, méara, píosa beag, ton cnis meánach
🤏🏾	beag, lámh ag pinseáil, lámh ag pinseáil: ton cnis meándorcha, méara, píosa beag, ton cnis meándorcha
🤏🏿	beag, lámh ag pinseáil, lámh ag pinseáil: ton cnis dorcha, méara, píosa beag, ton cnis dorcha
✌️	bua, comhartha an bhua, lámh bua, lámh síocháin, lámh síochána, síocháin
✌🏻	bua, comhartha an bhua, comhartha an bhua: ton cnis geal, lámh bua, lámh síocháin, lámh síochána, síocháin, ton cnis geal
✌🏼	bua, comhartha an bhua, comhartha an bhua: ton cnis mheánach-gheal, lámh bua, lámh síocháin, lámh síochána, síocháin, ton cnis mheánach-gheal
✌🏽	bua, comhartha an bhua, comhartha an bhua: ton cnis meánach, lámh bua, lámh síocháin, lámh síochána, síocháin, ton cnis meánach
✌🏾	bua, comhartha an bhua, comhartha an bhua: ton cnis meándorcha, lámh bua, lámh síocháin, lámh síochána, síocháin, ton cnis meándorcha
✌🏿	bua, comhartha an bhua, comhartha an bhua: ton cnis dorcha, lámh bua, lámh síocháin, lámh síochána, síocháin, ton cnis dorcha
🤞	ag súil, crosach, méara, méara crosach ar a chéile, méara trasnaithe, méarsa trasna, ádh
🤞🏻	ag súil, crosach, méara, méara crosach ar a chéile, méara trasnaithe, méarsa trasna, méarsa trasna: ton cnis geal, ton cnis geal, ádh
🤞🏼	ag súil, crosach, méara, méara crosach ar a chéile, méara trasnaithe, méarsa trasna, méarsa trasna: ton cnis mheánach-gheal, ton cnis mheánach-gheal, ádh
🤞🏽	ag súil, crosach, méara, méara crosach ar a chéile, méara trasnaithe, méarsa trasna, méarsa trasna: ton cnis meánach, ton cnis meánach, ádh
🤞🏾	ag súil, crosach, méara, méara crosach ar a chéile, méara trasnaithe, méarsa trasna, méarsa trasna: ton cnis meándorcha, ton cnis meándorcha, ádh
